latitude,longitude
13.0625578,80.2774114
13.0610558,80.27737
13.0625094,80.2762479
13.0611134,80.2766043
13.06108,80.2769595
13.0631921,80.2774202
13.0611135,80.276198
13.0597608,80.2769826
13.0597463,80.2763648
13.0583649,80.2766967
13.0559971,80.2762184
13.0567162,80.2763403
13.0597539,80.2761824
13.0597551,80.2766055
13.057674,80.2740306
13.0562347,80.2738884
13.0552944,80.273806
13.0545357,80.2737975
13.0513531,80.2741651
13.0506808,80.2742919
13.0489871,80.2746007
13.0457494,80.2743861
13.0433746,80.2742818
13.0420788,80.2744791
13.0412992,80.2744124
13.0405492,80.2743959
13.0399004,80.2742462
13.0391109,80.2739326
13.0387061,80.2738797
13.0382403,80.2738597
13.0375486,80.2738275
13.0374687,80.2738695
13.036789,80.2738048
13.0362115,80.2737848
13.0342553,80.2737173
13.033938,80.2737058
13.0329077,80.2739111
13.031814,80.2740132
13.0315028,80.2740447
13.0306311,80.2742323
13.0301691,80.2743466
13.0295973,80.2744822
13.0281981,80.2790637
13.0282225,80.2787439
13.0282664,80.2783421
13.0284798,80.2770607
13.0287891,80.275909
13.0289854,80.2746441
13.0287212,80.2736032
13.0286865,80.2728221
13.028737,80.2725864
13.0290113,80.2720906
13.0292508,80.2717213
13.029379,80.2710867
13.0293515,80.2698368
13.0293089,80.2689843
13.0292595,80.2682794
13.0292535,80.2668263
13.0296787,80.2626371
13.0291452,80.2611738
13.0293321,80.2607792
13.0293952,80.2607442
13.0293857,80.260278
13.0288069,80.2579441
13.0289174,80.2564883
13.0290408,80.2551993
13.0291172,80.2539777
13.0293291,80.2501638
13.0736861,80.2853397
13.0741428,80.285796
13.0620586,80.2629025
13.0638675,80.2599927
13.0641216,80.2594541
13.0646469,80.2586199
13.0681894,80.2703532
13.0682704,80.269388
13.0689777,80.2673925
13.0700231,80.266262
13.0720615,80.2640748
13.0727188,80.2625902
13.0803737,80.2651477
13.0747069,80.2575121
13.0710827,80.2540178
13.0707355,80.2543695
13.0716875,80.2532246
13.070992,80.2472598
13.0713354,80.2481355
13.074681,80.252256
13.0749652,80.2522212
13.0749196,80.2561144
13.0746723,80.2536527
13.0742517,80.2530921
13.0739651,80.252516
13.0737627,80.247713
13.0730864,80.2478226
13.0746219,80.2627698
13.0777391,80.2623028
13.0695043,80.2724275
13.0698885,80.2713796
13.0699872,80.2710687
